description,extension_id,title
"Light theme, color spectrum of Windows classical desktop.
Легкая тема, цветовая гамма классического рабочего стола Windows.",nocmgnkgjphfnoikmejagcnjkjhfkfkh,98 Classic from SaddaS
A decentralised like button.,cgpmaldjmbpieenobjmjpokdjfihhple,LikeButton.eth
Right click to search highlighted text on B&H Photo,gpoocopmgolkjjllbbmnpcfbmojmjfng,Right Click B&H Search
国立国会図書館の蔵書検索システム“NDL-OPAC”の使い勝手を少しだけ向上,gphccemjammkcamobjnafgiibinojnah,ndlopac++
Set of tools for Linkedin,kcnmjginaijndlfgmgkhgbjjjagnaipi,Linkedin Tools
Giao diện là hình ảnh bông hoa cúc màu tím đẹp mắt,fdapaaieilopmeleklmdfkflcdchfgde,Playgo88
"Una extensión para calcular el porcentaje de ventas con reclamo, cancelación y demoras.",hmjlblhbbijdlnfjbeehililgbgiemmh,Calculadora de Reputación Hsp Vdd Post Venta
Play Roblox Online For Free With help of Roblox Unblocked. This Free VPN for Chrome is a super safe and free tool.,eldafnahjlecijacdkbaoaodclagkchc,Roblox Unblocked: Play Roblox Online for Free
"If you like this theme, will rate it, please. Website: https://gctheme.store/",olpckcagkdfnhmmnfaphelflmnephkok,Glass pool
The Go-To Place for animal lovers wanting to grow their animal shelters,gdlepkkkjfnplhjlbjlldjblkaeocpko,Animal Shelter Essentials
Super powers for Craigslist,eodbobgkijhiojjdnocjkfoihjcfahme,Super Craig
Planteen Host makes domain name registration affordable and easy;  your comprehensive Web and Internet solution. Simply the Best!,hbnbdplnaccchifbikommkaehfmngooo,PlanteenHost.com
Simple support to create calendar events,lfgjicnpmcakigilbifjfkbegibpmkcl,Calendar Helper
Parse web pages for gaggle data and interact with other Gaggle Geese,loehpehjfhocaekdfacfkjbiohohafgb,Gaggle Chrome Goose
MozBar from Moz,eakacpaijcpapndcfffdgphdiccmpknp,MozBar
Give your browser a breath of fresh air with this vibrant wildflower grassland theme!,pebhpkphpkfghpaaelfbjnhhjcdfiapm,Yellowstone Wildflowers
在任何設備上，遠程遙控您的Google簡報。,pojijacppbhikhkmegdoechbfiiibppi,Remote for Slides
"Play Fish Eat Fish Unblocked Games right on Chrome™ Browser! Offline and Popup Version, without internet required!",gljgbebgiblnlhkmidmeommgnmcbclnp,Fish Eat Fish Unblocked Games
Enhancer ChatGPT For Google 為 ChatGPT 導出聊天添加額外功能，複製完整聊天,ppabhpkkjmcgafdbodigikneeneaboma,Enhancer ChatGPT For Google | ENAPP
Google 搜索結果和 YouTube 視頻旁邊展示 ChatGPT 摘要（支持自動翻譯）,oicglfpilabkgmnmddphahbemifahiak,SummGen-自動為谷歌搜索結果及YouTube視頻生成摘要 (ChatGPT)
Extract reviews on AliExpress then export to CSV. Allows for easy organization when researching the market or analyzing trends.,elcljdecpbphfholhckkchdocegggbli,Review Collector for Data-Driven Decisions
"分組討論室,出勤,黑暗模式,聊天,表情符號,獎勵積分,測驗,投票,文件共享,便利貼,靜音,Google Meet的許多其他功能",lbfjgknkjfjmnjdgdhbbmmbkoddgpdoc,Meet Plus for Google Meet
